name,avg_g3d_mark,bus_interface,max_memory_size,core_clock,max_direct,open_gl,max_tdp,test_directx_9,test_directx_10,test_directx_11,test_directx_12,test_gpu_compute
geforce gtx 870m,3450,pcie 3.0 x16,6144.0,967.0,11,4.5,110.0,67.0,14.0,30.0,12.0,1614.0
quadro m2000m,3461,pcie 3.0 x16,4096.0,,12.1,4.5,55.0,58.0,16.0,23.0,15.0,1473.0
radeon pro w5500m,3470,pcie 4.0 x8,4096.0,1000.0,12,4.6,85.0,152.0,20.0,24.0,16.0,1651.0
radeon hd 7970m,3559,pcie 3.0 x16,4096.0,850.0,11.1,4.4,75.0,64.0,16.0,21.0,18.0,1641.0
geforce gtx 680m ky_bullet edition,3569,,,,,,,,,,,
radeon r9 m390x,3597,pcie 3.0 x16,4096.0,723.0,12.0,4.3,100.0,76.0,25.0,21.0,17.0,1210.0
radeon 660m ryzen 5 7535hs,3614,,,,,,,55.0,14.0,34.0,15.0,1542.0
geforce gtx 775m,3635,,,,,,,72.0,17.0,30.0,12.0,1601.0
geforce mx450,3737,,,,,,,54.0,13.0,26.0,24.0,1882.0
geforce gtx 965m,3797,pcie 3.0 x16,4096.0,944.0,12.0,4.5,60.0,68.0,16.0,29.0,17.0,1593.0
geforce gtx 780m,3804,pcie 3.0 x16,4096.0,797.0,11,4.5,122.0,70.0,15.0,33.0,14.0,1750.0
geforce gtx 880m,3818,pcie 3.0 x16,8192.0,993.0,11,4.5,130.0,74.0,16.0,34.0,14.0,1568.0
radeon hd 8970m,3876,pcie 3.0 x16,4096.0,850.0,11.1,4.4,100.0,,,,,
radeon rx 7600m,3940,,,,,,,32.0,22.0,48.0,21.0,1680.0
radeont 660m ryzen 5 7535hs,4051,,,,,,,66.0,17.0,39.0,14.0,1721.0
geforce gtx 1050 with max-q design,4062,pcie 3.0 x16,4096.0,999.0,12,,,59.0,19.0,34.0,18.0,1589.0
geforce gtx 680mx,4138,pcie 3.0 x16,4096.0,719.0,11,4.5,122.0,73.0,17.0,35.0,14.0,1757.0
quadro m2200,4254,pcie 3.0 x16,4096.0,1025.0,12.0,4.5,55.0,74.0,18.0,30.0,19.0,1851.0
radeon rx 5300m,4307,pcie 4.0 x8,3072.0,1000.0,12,4.6,85.0,84.0,29.0,25.0,19.0,1736.0
geforce gtx 1050,4462,pcie 3.0 x16,4096.0,1354.0,12,,,75.0,20.0,35.0,19.0,2089.0
geforce mx550,4546,,,,,,,63.0,16.0,34.0,28.0,2220.0
radeon pro wx vega m gl,4643,integrated,4096.0,931.0,12,4.6,65.0,70.0,24.0,30.0,26.0,1109.0
t550,4823,,,,,,,67.0,17.0,36.0,30.0,2248.0
radeon r9 m395,4911,pcie 3.0 x16,2048.0,,12,4.3,125.0,84.0,28.0,34.0,20.0,1766.0
radeon r9 m295x,5150,pcie 3.0 x16,4096.0,750.0,11.2,4.3,125.0,,,,,
radeon r9 m395x,5195,pcie 3.0 x16,4096.0,,12.0,4.3,125.0,83.0,26.0,34.0,23.0,1744.0
geforce gtx 1050 ti with max-q design,5358,pcie 3.0 x16,4096.0,1151.0,12,,,112.0,65.0,107.0,91.0,2165.0
radeon pro w6300,5560,pcie 4.0 x4,2048.0,1512.0,12_2,4.6,25.0,75.0,29.0,45.0,23.0,2216.0
radeon rx 5500m,5569,pcie 4.0 x8,4096.0,1375.0,12,4.6,85.0,99.0,38.0,33.0,27.0,2247.0
quadro m3000m,5607,pcie 3.0 x16,4096.0,,12.1,4.5,75.0,101.0,26.0,43.0,23.0,2142.0
radeont 680m ryzen 7 7735hs,5651,,,,,,,73.0,23.0,47.0,25.0,2680.0
geforce gtx 970m,5720,pcie 3.0 x16,3072.0,924.0,12,4.5,75.0,99.0,27.0,43.0,24.0,2308.0
geforce mx570,5735,,,,,,,77.0,30.0,39.0,30.0,2589.0
radeon 760m,5749,,,,,,,70.0,21.0,57.0,27.0,3102.0
radeont 760m,5846,,,,,,,72.0,22.0,54.0,28.0,2812.0
geforce gtx 1050 ti,5919,pcie 3.0 x16,4096.0,1493.0,12,,,101.0,30.0,45.0,24.0,2189.0
radeon pro 5300m,5952,pcie 4.0 x8,4096.0,1000.0,12,4.6,85.0,80.0,35.0,38.0,25.0,2750.0
geforce mx570 a,6035,,,,,,,79.0,33.0,39.0,32.0,2684.0
geforce rtx 3050 a,6038,,,,,,,131.0,61.0,87.0,10.0,4232.0
quadro m4000m,6149,pcie 3.0 x16,4096.0,,12.1,4.5,100.0,107.0,31.0,49.0,25.0,2313.0
radeon 680m ryzen 7 7735hs,6167,,,,,,,82.0,23.0,62.0,25.0,2941.0
geforce gtx 1650 with max-q design,6176,pcie 3.0 x16,4096.0,1020.0,12,4.6,35.0,97.0,32.0,47.0,29.0,2290.0
radeon 660m ryzen 5 6600h,6286,,,,,,,58.0,16.0,162.0,80.0,2969.0
geforce gtx 1650 ti with max-q design,6413,pcie 3.0 x16,4096.0,1035.0,12,4.6,35.0,101.0,34.0,53.0,28.0,2346.0
radeon rx 6300m,6422,,,,,,,100.0,30.0,51.0,27.0,2292.0
quadro t1000,6465,,,,,,,109.0,33.0,47.0,28.0,2480.0
quadro p3000,6485,pcie 3.0 x16,6144.0,1088.0,12,,75.0,105.0,35.0,52.0,25.0,2710.0
quadro t1000 with max-q design,6702,,,,,,,111.0,33.0,52.0,28.0,2575.0
radeon pro wx 7130,6715,pcie 3.0 x16,8192.0,1188.0,12,4.6,130.0,111.0,43.0,47.0,49.0,2345.0
geforce rtx 3050 4gb,6755,pcie 4.0 x16,4096.0,1238.0,12_2,4.6,80.0,85.0,35.0,42.0,38.0,3102.0
rtx a500,6771,,,,,,,86.0,35.0,42.0,38.0,2999.0
radeon pro 5500m,6775,pcie 4.0 x8,8192.0,1000.0,12.0,4.6,85.0,96.0,35.0,43.0,30.0,3333.0
quadro t2000 with max-q design,6892,,,,,,,114.0,35.0,53.0,29.0,2629.0
geforce gtx 1650,6969,pcie 3.0 x16,4096.0,1395.0,12,4.6,50.0,116.0,36.0,50.0,27.0,2750.0
quadro m5000m,6992,pcie 3.0 x16,8192.0,962.0,12.1,4.5,100.0,117.0,35.0,54.0,29.0,2712.0
radeon 780m,7071,,,,,,,84.0,28.0,67.0,31.0,3847.0
t600,7080,,,,,,,114.0,33.0,52.0,32.0,2691.0
radeont 780m,7103,,,,,,,85.0,28.0,68.0,31.0,3779.0
quadro t2000,7193,,,,,,,124.0,35.0,50.0,32.0,2880.0
geforce gtx 980m,7357,pcie 3.0 x16,4096.0,1038.0,12,4.5,100.0,125.0,35.0,57.0,31.0,2803.0
geforce gtx 1650 ti,7536,pcie 3.0 x16,4096.0,1350.0,12,4.6,55.0,119.0,39.0,61.0,32.0,2743.0
geforce rtx 2050,7671,pcie 3.0 x8,4096.0,1185.0,12_2,4.6,45.0,105.0,39.0,48.0,41.0,3467.0
radeon rx 6500m,7777,pcie 4.0 x4,4096.0,2000.0,12_2,4.6,50.0,93.0,53.0,72.0,35.0,2870.0
t1200,7794,,,,,,,123.0,35.0,58.0,36.0,3114.0
radeon 880m,7809,,,,,,,102.0,33.0,75.0,32.0,3473.0
geforce gtx 1060 with max-q design,7900,pcie 3.0 x16,6144.0,1480.0,12.1,4.5,80.0,135.0,45.0,61.0,30.0,2884.0
quadro m5500,7915,pcie 3.0 x16,8192.0,861.0,12.0,4.5,150.0,,,,,
geforce gtx 1060,8161,pcie 3.0 x16,6144.0,1404.0,12,4.5,80.0,137.0,49.0,65.0,29.0,3362.0
quadro rtx 3000 with max-q design,8255,pcie 3.0 x16,6144.0,600.0,12,4.6,60.0,110.0,63.0,72.0,35.0,2713.0
radeon 890m,8299,,,,,,,102.0,35.0,75.0,36.0,4048.0
geforce gtx 1660 ti with max-q design,8611,pcie 3.0 x16,6144.0,1140.0,12,4.6,60.0,125.0,54.0,73.0,35.0,3066.0
radeon rx 5600m,8796,pcie 4.0 x16,6144.0,1035.0,12,4.6,150.0,133.0,57.0,65.0,41.0,3112.0
quadro p4000 with max-q design,9083,pcie 3.0 x16,16384.0,1113.0,12.1,,80.0,,,,,
radeon pro 5600m,9233,pcie 4.0 x16,8192.0,1000.0,12,4.6,50.0,117.0,63.0,59.0,39.0,4062.0
geforce rtx 3050,9458,pcie 4.0 x8,4096.0,712.0,12_2,4.6,75.0,118.0,55.0,73.0,45.0,3865.0
radeon pro w6600m,9522,,,,,,,141.0,55.0,86.0,31.0,3957.0
rtx a1000,9546,,,,,,,127.0,51.0,66.0,47.0,3868.0
radeon rx 6550m,9716,,,,,,,136.0,59.0,79.0,42.0,3343.0
geforce rtx 2060 with max-q design,9756,pcie 3.0 x16,6144.0,975.0,12,4.6,65.0,132.0,71.0,77.0,40.0,3487.0
rtx a2000,9926,pcie 4.0 x16,4096.0,,12_2,4.6,95.0,116.0,58.0,71.0,47.0,4455.0
geforce gtx 1070 with max-q design,9937,pcie 3.0 x16,8192.0,1379.0,12.1,4.5,90.0,154.0,65.0,84.0,37.0,3571.0
geforce rtx 3050 ti,10143,pcie 4.0 x8,4096.0,735.0,12,4.6,80.0,120.0,60.0,77.0,49.0,4330.0
rtx a1000 6gb,10153,,,,,,,129.0,54.0,66.0,52.0,4540.0
geforce gtx 1660 ti,10185,pcie 3.0 x16,6144.0,1455.0,12,4.6,80.0,155.0,61.0,86.0,39.0,3740.0
geforce rtx 3050 6gb,10314,pcie 4.0 x16,6144.0,1237.0,12_2,4.6,80.0,130.0,56.0,71.0,52.0,4658.0
geforce gtx 1070,10465,pcie 3.0 x16,8192.0,1443.0,12,,,153.0,74.0,92.0,34.0,4591.0
rtx a2000 8gb,10937,,,,,,,135.0,60.0,76.0,54.0,4590.0
quadro rtx 3000,11129,pcie 3.0 x16,6144.0,945.0,12.0,4.6,80.0,168.0,77.0,87.0,43.0,3882.0
rtx 500 ada generation,11185,,,,,,,139.0,63.0,87.0,51.0,4368.0
geforce rtx 2060,11355,pcie 3.0 x16,6144.0,960.0,12,4.6,80.0,164.0,87.0,96.0,39.0,3992.0
geforce gtx 1080 with max-q design,11485,pcie 3.0 x16,8192.0,1468.0,12.1,4.5,110.0,159.0,66.0,98.0,41.0,5779.0
intel arc a770m,11618,pcie 4.0 x16,16384.0,1650.0,12_2,4.6,150.0,185.0,51.0,64.0,72.0,4967.0
geforce rtx 2070 with max-q design,11646,pcie 3.0 x16,8192.0,885.0,12,4.6,80.0,167.0,87.0,98.0,45.0,4006.0
quadro p5200,12239,,,,,,,188.0,73.0,86.0,46.0,4732.0
quadro rtx 4000,12254,pcie 3.0 x16,8192.0,1110.0,12.0,4.6,110.0,176.0,95.0,103.0,46.0,4400.0
radeon rx 6850m,12274,,,,,,,108.0,115.0,118.0,77.0,5938.0
geforce rtx 2070,12354,pcie 3.0 x16,8192.0,1215.0,12,4.6,115.0,176.0,95.0,111.0,41.0,4487.0
quadro rtx 4000 with max-q design,12411,pcie 3.0 x16,8192.0,780.0,12.1,4.6,80.0,181.0,96.0,104.0,47.0,4377.0
radeon rx 6600s,12445,pcie 4.0 x8,4096.0,1700.0,12_2,4.6,80.0,150.0,82.0,108.0,61.0,4619.0
rtx a3000,12481,,6144.0,,12_2,4.6,130.0,135.0,84.0,104.0,56.0,5592.0
geforce rtx 2080 with max-q design,13037,pcie 3.0 x16,8192.0,735.0,12,4.6,90.0,171.0,102.0,112.0,49.0,4705.0
radeon rx 7600m xt,13196,pcie 4.0 x16,8192.0,1437.0,12_2,4.6,120.0,155.0,75.0,129.0,61.0,6463.0
radeon rx 6800m,13263,,12288.0,2300.0,12,4.6,145.0,147.0,102.0,126.0,65.0,5025.0
geforce rtx 3060,13354,pcie 4.0 x16,6144.0,900.0,12,4.6,115.0,146.0,92.0,111.0,59.0,5839.0
quadro rtx 5000 with max-q design,13521,pcie 3.0 x16,16384.0,600.0,12.0,4.6,80.0,187.0,100.0,109.0,53.0,4719.0
radeon rx 6700m,13549,pcie 4.0 x16,10240.0,1489.0,12_2,4.6,135.0,152.0,94.0,129.0,65.0,5305.0
geforce rtx 2070 super with max-q design,13746,pcie 3.0 x16,8192.0,930.0,12,4.6,80.0,192.0,104.0,111.0,50.0,5061.0
radeon rx 6600m,13797,pcie 4.0 x8,8192.0,2068.0,12_2,4.6,100.0,179.0,89.0,134.0,51.0,5751.0
geforce rtx 2080 super with max-q design,13828,pcie 3.0 x16,8192.0,735.0,12,4.6,80.0,184.0,108.0,118.0,53.0,4884.0
radeont rx 6850m xt,13848,pcie 4.0 x16,12288.0,2321.0,12_2,4.6,165.0,144.0,106.0,166.0,59.0,5210.0
rtx 1000 ada generation,14057,,,,,,,179.0,74.0,115.0,65.0,5493.0
rtx a3000 12gb,14242,,,,,,,170.0,88.0,116.0,66.0,5633.0
geforce rtx 4050,14428,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5939.0
radeon rx 7600s,14679,pcie 4.0 x16,8192.0,1500.0,12_2,4.6,75.0,211.0,73.0,137.0,58.0,6194.0
quadro rtx 5000,14832,pcie 3.0 x16,16384.0,1035.0,12.0,4.6,110.0,204.0,110.0,121.0,56.0,5329.0
radeon rx 6700s,14969,pcie 4.0 x8,8192.0,1700.0,12_2,4.6,80.0,190.0,88.0,132.0,57.0,6041.0
radeon rx 6650m,15018,,,,,,,223.0,82.0,144.0,55.0,5996.0
geforce rtx 2080,15107,pcie 3.0 x16,8192.0,1380.0,12,4.6,150.0,194.0,116.0,140.0,53.0,6508.0
rtx 3000 ada generation,16123,,,,,,,192.0,102.0,154.0,74.0,6178.0
rtx a5000,16125,,16384.0,,12_2,4.6,165.0,163.0,121.0,135.0,74.0,7155.0
geforce rtx 3080,16477,pcie 4.0 x16,8192.0,1100.0,12,4.6,115.0,168.0,124.0,146.0,73.0,7445.0
radeon rx 6650m xt,17071,,,,,,,228.0,103.0,170.0,66.0,5684.0
rtx a5500,17350,,,,,,,189.0,112.0,139.0,83.0,7459.0
rtx a4500,17439,,,,,,,203.0,113.0,136.0,81.0,7014.0
radeon rx 6850m xt,17512,,,,,,,208.0,104.0,157.0,81.0,6810.0
geforce rtx 4060,17662,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6828.0
geforce rtx 3070 ti,17952,pcie 4.0 x16,8192.0,915.0,12_2,4.6,115.0,194.0,128.0,156.0,75.0,7665.0
rtx 3500 ada generation,18957,,,,,,,245.0,125.0,189.0,78.0,7097.0
geforce rtx 4070,19567,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,178.0,85.0,8362.0
geforce rtx 3080 ti,19689,pcie 4.0 x16,16384.0,810.0,12_2,4.6,115.0,202.0,135.0,166.0,91.0,8683.0
radeon 610m ryzen 9 7845hx,21623,,,,,,,241.0,125.0,176.0,96.0,8694.0
radeon rx 7900m,22752,,,,,,,267.0,127.0,256.0,93.0,9297.0
rtx 4000 ada generation,22879,,,,,,,270.0,139.0,223.0,101.0,9224.0
rtx 5000 ada generation,24197,,,,,,,274.0,154.0,241.0,102.0,9666.0
geforce rtx 4080,25099,pcie 4.0 x16,12288.0,1860.0,12_2,4.6,150.0,286.0,161.0,248.0,96.0,11446.0
geforce rtx 4090,27668,pcie 4.0 x16,16384.0,1455.0,12_2,4.6,150.0,314.0,181.0,270.0,106.0,12653.0
